"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Phil's Advanced IRONMAN® 140.6® Plan (44 Wks): DAY 1 MONDAY","Other","Day 1 should be in your calendar on a Monday. Your training will then align to a Mon-Fri working week. You will also correctly taper for a weekend race.","","","2020-08-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIDEO and Instructions: Get Started and Train Effectively","Custom","Thank you for choosing MyProCoach™ to support your training and racing. 1. Check Phil's short welcome video to help you get started: https://bit.ly/Phils-Welcome 2. Read your ""Getting Started Guide"": https://support.myprocoach.net/hc/en-us/articles/360004621731 3. Check our Support Centre: https://myprocoach-help.zendesk.com/hc/en-us 4. Learn about your 5 Training Zones: http://www.myprocoach.net/uploads/1/3/3/8/13384839/training_intensity_zones.pdf 5. Find out about your Email Coach Support: https://support.myprocoach.net/hc/en-us/articles/360019375491","","","2020-08-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Bike","Bike","This workout works well on an indoor bike trainer; you can also do it outside. It's not supposed to be high intensity, so keep a lid on this one. You will improve your fat-burning and efficiency. Warm Up: 5 mins in Z2, 5 x (20 secs in Z3 + 40 secs in low Z2). Main Set: 9 x (5 mins in upper Z2 + 30 sec recoveries in low Z2). Warm Down: 5 mins in low Z2.","1.075","","2020-08-31","Phil’s Training Tip: Don't panic if you cannot complete 100% of your workouts. Do your best to stick to your plan, while accepting that occasionally life gets in the way. Following a plan will help you train more effectively than not having a plan at all. Do your best with whatever time and resources you have, and don't give up. Don't worry about one bad week, it’s what you do consistently over a period of months that counts.","33164.69140625","201","312","781.657","","1.07789301872253","8.54699993133545","","73","","141","154","","","0.730114180450382","56.92","20","22","23","0","0","","","","","","4","32","28","1","0","0","","","","","",""
"Strength","Strength","","","","2020-08-31","","0","","","","","0.509015023708344","0","","","","88","127","","","0.559714079713916","17.37","2","0","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Endurance","Run","All in low to mid Z2.","0.833333333333333","","2020-09-01","","11260.5595703125","312","382","955.652","","0.85027801990509","3.67899990081787","","89","","148","171","","","0.897830945510185","67.86","4","3","8","22","8","","","","","","0","16","31","5","1","0","0","","","","",""
"VIDEO: Moving your Workouts Around","Custom","Moving Your Workouts Around: https://bit.ly/MovingWorkoutsAround","","","2020-09-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tempo Run","Run","Warm Up: 15 mins in Z2. 4 x 30 secs accelerating from Z2 to Z4 + 30 sec recoveries in Z1. Main Set: 2 x 10 mins in low Z4 + 2 min recovery in Z1. Warm Down: 5 mins in Z2.","0.766666666666667","","2020-09-02","These tough sessions will improve your run thresholds. They involve relatively long efforts, and relatively short recoveries. The intensity of these runs is at, or near to your 1-hour race pace.","10477.7998046875","306","419","893.279","","0.809846639633179","3.59400010108948","","88","","151","178","","","0.905121460704103","65.35","5","10","12","4","16","","","","","","8","13","6","8","7","7","0","","","","",""
"Build Phase 1: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Running.pdf Legs and Core Strength: 1. Squat: 3 x 10 (Exercise 1) 2. Squat Jump: 3 x 12 (Exercise 2) 3. Single Leg Squat: 3 x 10 (Exercise 3) 4. High Knee: 3 x 10 (Exercise 9) 5. Box Jump: 3 x 8 (Exercise 10) 6. Bicycle Crunch: 4 x 10 (Exercise 24) 7. Plank: 1 x 3 (Exercise 20) 8. Spider Climber: 3 x 10 (Exercise 23) 9. Side Plank: 1 x 3 (Exercise 21) Flexibility: 5-10 minutes Notes: 1. 3 x 8 = 3 sets of 8 repetitions with a rest between sets. 2. Rests are 45 secs - 2-3 mins as required. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-09-03","Build Phase: During the build phase, your workouts are designed to develop power, balance and neuromuscular control. Form is key, reduce the intensity if you cannot hold your form. Resistance during the Build Phase: The most strength gains are made during this phase. Progress intensity by adding resistance only if you are able to maintain correct form throughout. Sets should feel more challenging, however be cautious of negatively impacting your following workouts. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for running. It should not inhibit your subsequent workouts.","0","","","","","0.652238011360168","0","","","","85","134","","","0.551452983257189","21.74","4","0","0","0","0","","","","","","","","","","","","","","","","",""
"Above and Below Threshold","Bike","These are workouts where the main set includes efforts that alternate above and below your one-hour threshold intensity. They are best done on an indoor trainer. Warm Up: 15 mins in low Z2, 5 x (10 secs in Z4 + 50 secs in low Z2). Main Set: 5 x (4 mins in Z3 + 2 mins in Z5 + 2 mins in low Z2). Warm Down: 5 mins in low Z2.","1.08333333333333","","2020-09-03","","30504.83984375","211","440","792.625","","1.0413761138916","8.13700008392334","","70","","140","170","","","0.808850257135359","67.59","33","6","10","12","2","","","","","","5","30","13","9","5","1","","","","","",""
"Speed Workout Run - 8x2min","Run","Warm Up: 15 mins in Z2. Main Set: 8 x (2 mins in Z5 + 90 sec recoveries in Z1-2). Warm Down: 10 mins in Z2.","0.883333333333333","","2020-09-04","","10186.6796875","299","416","870.101","","0.806609451770782","3.50799989700317","","87","","134","175","","","0.906024726165728","65.31","8","13","5","3","8","","","","","","10","15","5","1","2","14","0","","","","",""
